decoder,d,p,num_samples,num_errors,p_L,p_L_stderr,shot_hash,timestamp
MWPM,9,0.006,20000,317,0.01585,0.0008831414807379392,7fa36abe,2026-04-15T22:34:56.123055
SimpleNN,9,0.007,20000,8624,0.4312,0.00350190348239354,52bd979e,2026-04-15T22:35:06.324938
GraphSAGE,9,0.007,20000,4987,0.24935,0.0030592039610003122,52bd979e,2026-04-15T22:35:06.324938
MWPM,9,0.007,20000,599,0.02995,0.0012052592563428003,52bd979e,2026-04-15T22:35:06.324938
SimpleNN,9,0.008,20000,9241,0.46205,0.003525335427303337,cbd809ab,2026-04-15T22:35:17.884229
GraphSAGE,9,0.008,20000,6130,0.3065,0.003260044094793811,cbd809ab,2026-04-15T22:35:17.884229
MWPM,9,0.008,20000,1043,0.05215,0.0015721065087963982,cbd809ab,2026-04-15T22:35:17.884229
SimpleNN,11,0.001,20000,2649,0.13245,0.0023969459474506303,6f82b203,2026-04-15T22:35:30.427712
GraphSAGE,11,0.001,20000,366,0.0183,0.0009477634198469573,6f82b203,2026-04-15T22:35:30.427712
MWPM,11,0.001,20000,0,0.0,0.0,6f82b203,2026-04-15T22:35:30.427712
SimpleNN,11,0.002,20000,5745,0.28725,0.0031995111931356016,40e39fef,2026-04-15T22:35:37.119369
GraphSAGE,11,0.002,20000,942,0.0471,0.0014980252000550592,40e39fef,2026-04-15T22:35:37.119369
MWPM,11,0.002,20000,0,0.0,0.0,40e39fef,2026-04-15T22:35:37.119369
SimpleNN,11,0.003,20000,7704,0.3852,0.0034410823878541475,2cda3462,2026-04-15T22:35:45.379474
GraphSAGE,11,0.003,20000,1627,0.08135,0.0019330310072525995,2cda3462,2026-04-15T22:35:45.379474
MWPM,11,0.003,20000,2,0.0001,7.070714249635605e-05,2cda3462,2026-04-15T22:35:45.379474
SimpleNN,11,0.004,20000,8868,0.4434,0.0035128082782867613,811bb516,2026-04-15T22:35:55.470996
GraphSAGE,11,0.004,20000,2680,0.134,0.002408775622593354,811bb516,2026-04-15T22:35:55.470996
MWPM,11,0.004,20000,18,0.0009,0.00021203655345246488,811bb516,2026-04-15T22:35:55.470996
SimpleNN,11,0.005,20000,9374,0.4687,0.003528599651419809,c9b0dac6,2026-04-15T22:36:08.438908
GraphSAGE,11,0.005,20000,4145,0.20725,0.002866159778344536,c9b0dac6,2026-04-15T22:36:08.438908
