split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
b4_d7more,13,0.006,0.502,0.498,0.498,0.0085,58.588235294117645
b4_d7more,13,0.007,0.5109,0.4891,0.4891,0.0273,17.915750915750912
b4_d7more,13,0.008,0.498,0.502,0.502,0.0579,8.670120898100173
b5_d7heavy,9,0.001,0.9909,0.009099999999999997,0.009099999999999997,0.0,inf
b5_d7heavy,9,0.002,0.9475,0.05249999999999999,0.05249999999999999,0.0,inf
b5_d7heavy,9,0.003,0.8732,0.12680000000000002,0.12680000000000002,0.0011,115.27272727272728
b5_d7heavy,9,0.004,0.7977,0.20230000000000004,0.20230000000000004,0.0028,72.25000000000001
b5_d7heavy,9,0.005,0.7236,0.2764,0.2764,0.0062,44.58064516129032
b5_d7heavy,9,0.006,0.66,0.33999999999999997,0.33999999999999997,0.0158,21.51898734177215
b5_d7heavy,9,0.007,0.6186,0.38139999999999996,0.38139999999999996,0.0267,14.284644194756552
b5_d7heavy,9,0.008,0.5739,0.42610000000000003,0.42610000000000003,0.0546,7.804029304029304
b5_d7heavy,11,0.001,0.9381,0.061899999999999955,0.061899999999999955,0.0,inf
b5_d7heavy,11,0.002,0.7785,0.22150000000000003,0.22150000000000003,0.0,inf
b5_d7heavy,11,0.003,0.6759,0.32410000000000005,0.32410000000000005,0.0001,3241.0000000000005
b5_d7heavy,11,0.004,0.6166,0.38339999999999996,0.38339999999999996,0.0008,479.24999999999994
b5_d7heavy,11,0.005,0.5793,0.42069999999999996,0.42069999999999996,0.0044,95.61363636363635
b5_d7heavy,11,0.006,0.5471,0.45289999999999997,0.45289999999999997,0.0125,36.23199999999999
b5_d7heavy,11,0.007,0.5309,0.46909999999999996,0.46909999999999996,0.0267,17.569288389513105
b5_d7heavy,11,0.008,0.5167,0.48329999999999995,0.48329999999999995,0.0517,9.348162475822049
b5_d7heavy,13,0.001,0.797,0.20299999999999996,0.20299999999999996,0.0,inf
b5_d7heavy,13,0.002,0.6206,0.37939999999999996,0.37939999999999996,0.0001,3793.9999999999995
b5_d7heavy,13,0.003,0.5688,0.4312,0.4312,0.0001,4312.0
b5_d7heavy,13,0.004,0.5435,0.4565,0.4565,0.0001,4565.0
b5_d7heavy,13,0.005,0.5188,0.48119999999999996,0.48119999999999996,0.0023,209.2173913043478
b5_d7heavy,13,0.006,0.5029,0.4971,0.4971,0.0085,58.482352941176465
b5_d7heavy,13,0.007,0.5136,0.48640000000000005,0.48640000000000005,0.0273,17.816849816849818
b5_d7heavy,13,0.008,0.5004,0.49960000000000004,0.49960000000000004,0.0579,8.6286701208981
c4_no_d7,9,0.001,0.954,0.04600000000000004,0.04600000000000004,0.0,inf
c4_no_d7,9,0.002,0.8296,0.1704,0.1704,0.0,inf
c4_no_d7,9,0.003,0.7106,0.2894,0.2894,0.0011,263.09090909090907
c4_no_d7,9,0.004,0.6293,0.37070000000000003,0.37070000000000003,0.0028,132.39285714285717
c4_no_d7,9,0.005,0.5786,0.4214,0.4214,0.0062,67.96774193548387
c4_no_d7,9,0.006,0.5514,0.4486,0.4486,0.0158,28.392405063291136
c4_no_d7,9,0.007,0.5411,0.4589,0.4589,0.0267,17.187265917602993
c4_no_d7,9,0.008,0.5138,0.48619999999999997,0.48619999999999997,0.0546,8.904761904761903
c4_no_d7,11,0.001,0.8564,0.14359999999999995,0.14359999999999995,0.0,inf
c4_no_d7,11,0.002,0.6699,0.33009999999999995,0.33009999999999995,0.0,inf
c4_no_d7,11,0.003,0.5924,0.40759999999999996,0.40759999999999996,0.0001,4075.9999999999995
c4_no_d7,11,0.004,0.553,0.44699999999999995,0.44699999999999995,0.0008,558.7499999999999
c4_no_d7,11,0.005,0.5297,0.47030000000000005,0.47030000000000005,0.0044,106.88636363636364
c4_no_d7,11,0.006,0.5168,0.48319999999999996,0.48319999999999996,0.0125,38.65599999999999
c4_no_d7,11,0.007,0.4983,0.5017,0.5017,0.0267,18.790262172284645
c4_no_d7,11,0.008,0.4992,0.5008,0.5008,0.0517,9.686653771760154
c4_no_d7,13,0.001,0.7363,0.26370000000000005,0.26370000000000005,0.0,inf
c4_no_d7,13,0.002,0.5971,0.40290000000000004,0.40290000000000004,0.0001,4029.0
c4_no_d7,13,0.003,0.5517,0.44830000000000003,0.44830000000000003,0.0001,4483.0
c4_no_d7,13,0.004,0.5231,0.4769,0.4769,0.0001,4769.0
c4_no_d7,13,0.005,0.5094,0.49060000000000004,0.49060000000000004,0.0023,213.30434782608697
c4_no_d7,13,0.006,0.5044,0.49560000000000004,0.49560000000000004,0.0085,58.305882352941175
c4_no_d7,13,0.007,0.5031,0.4969,0.4969,0.0273,18.2014652014652
c4_no_d7,13,0.008,0.5046,0.49539999999999995,0.49539999999999995,0.0579,8.556131260794473
equal_333333,9,0.001,0.9939,0.006099999999999994,0.006099999999999994,0.0,inf
equal_333333,9,0.002,0.9609,0.039100000000000024,0.039100000000000024,0.0,inf
equal_333333,9,0.003,0.8969,0.10309999999999997,0.10309999999999997,0.0011,93.72727272727269
equal_333333,9,0.004,0.8154,0.1846,0.1846,0.0028,65.92857142857143
equal_333333,9,0.005,0.7363,0.26370000000000005,0.26370000000000005,0.0062,42.532258064516135
equal_333333,9,0.006,0.6716,0.3284,0.3284,0.0158,20.78481012658228
equal_333333,9,0.007,0.6175,0.38249999999999995,0.38249999999999995,0.0267,14.325842696629211
equal_333333,9,0.008,0.5865,0.4135,0.4135,0.0546,7.573260073260072
equal_333333,11,0.001,0.965,0.03500000000000003,0.03500000000000003,0.0,inf
equal_333333,11,0.002,0.8313,0.16869999999999996,0.16869999999999996,0.0,inf
equal_333333,11,0.003,0.7107,0.2893,0.2893,0.0001,2893.0
equal_333333,11,0.004,0.6333,0.3667,0.3667,0.0008,458.375
equal_333333,11,0.005,0.5796,0.4204,0.4204,0.0044,95.54545454545453
equal_333333,11,0.006,0.543,0.45699999999999996,0.45699999999999996,0.0125,36.559999999999995
equal_333333,11,0.007,0.5278,0.47219999999999995,0.47219999999999995,0.0267,17.685393258426963
equal_333333,11,0.008,0.521,0.479,0.479,0.0517,9.264990328820115
equal_333333,13,0.001,0.8781,0.12190000000000001,0.12190000000000001,0.0,inf
equal_333333,13,0.002,0.6392,0.3608,0.3608,0.0001,3608.0
equal_333333,13,0.003,0.5626,0.4374,0.4374,0.0001,4374.0
equal_333333,13,0.004,0.5404,0.4596,0.4596,0.0001,4596.0
equal_333333,13,0.005,0.5179,0.4821,0.4821,0.0023,209.6086956521739
equal_333333,13,0.006,0.5024,0.49760000000000004,0.49760000000000004,0.0085,58.54117647058823
equal_333333,13,0.007,0.5087,0.49129999999999996,0.49129999999999996,0.0273,17.996336996336993
equal_333333,13,0.008,0.5,0.5,0.5,0.0579,8.635578583765112
