split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
b1_d5heavy,9,0.005,0.7688,0.2311999999999999,0.2311999999999999,0.0065,35.56923076923076
b1_d5heavy,9,0.006,0.7067,0.2933,0.2933,0.0162,18.10493827160494
b1_d5heavy,9,0.007,0.6444,0.3556,0.3556,0.0335,10.614925373134328
b1_d5heavy,9,0.008,0.5976,0.4024,0.4024,0.054,7.451851851851852
b1_d5heavy,11,0.001,0.9793,0.0207,0.0207,0.0,inf
b1_d5heavy,11,0.002,0.8762,0.1238,0.1238,0.0,inf
b1_d5heavy,11,0.003,0.7481,0.2519,0.2519,0.0003,839.6666666666667
b1_d5heavy,11,0.004,0.6492,0.3508,0.3508,0.0016,219.25
b1_d5heavy,11,0.005,0.5773,0.4226999999999999,0.4226999999999999,0.0041,103.09756097560972
b1_d5heavy,11,0.006,0.548,0.4519999999999999,0.4519999999999999,0.0102,44.31372549019606
b1_d5heavy,11,0.007,0.529,0.471,0.471,0.0277,17.00361010830325
b1_d5heavy,11,0.008,0.5136,0.4864,0.4864,0.0545,8.924770642201835
b1_d5heavy,13,0.001,0.9222,0.0777999999999999,0.0777999999999999,0.0,inf
b1_d5heavy,13,0.002,0.6989,0.3011,0.3011,0.0,inf
b1_d5heavy,13,0.003,0.5707,0.4293,0.4293,0.0,inf
b1_d5heavy,13,0.004,0.5293,0.4707,0.4707,0.0004,1176.75
b1_d5heavy,13,0.005,0.5085,0.4915,0.4915,0.0032,153.59375
b1_d5heavy,13,0.006,0.5075,0.4925,0.4925,0.0108,45.60185185185185
b1_d5heavy,13,0.007,0.4957,0.5043,0.5043,0.0272,18.540441176470587
b1_d5heavy,13,0.008,0.5025,0.4975,0.4975,0.0543,9.16206261510129
b2_d5more,9,0.001,0.9939,0.0060999999999999,0.0060999999999999,0.0,inf
b2_d5more,9,0.002,0.9663,0.0336999999999999,0.0336999999999999,0.0001,336.999999999999
b2_d5more,9,0.003,0.9078,0.0921999999999999,0.0921999999999999,0.0003,307.33333333333303
b2_d5more,9,0.004,0.8442,0.1558,0.1558,0.0025,62.31999999999999
b2_d5more,9,0.005,0.7555,0.2445,0.2445,0.0065,37.61538461538461
b2_d5more,9,0.006,0.7051,0.2949,0.2949,0.0162,18.203703703703706
b2_d5more,9,0.007,0.6407,0.3592999999999999,0.3592999999999999,0.0335,10.725373134328354
